Winnowing
Running winnowing equals ../../thesis-datasets/gcc/
gcc-2.7.0.tar gcc-2.7.1.tar
1700 34.12977481234362 0.4584789267770566
1750 34.169530020332246 0.4551746510400375
1800 34.20566059815771 0.45292385317289646
1850 34.2418676652093 0.45023444220167347
1900 34.275603354137026 0.44820250796645295
1950 34.308326905664174 0.4455338378753519
2000 34.338159325934384 0.4435410027955896
2050 34.367646796373144 0.44140203462230215
2100 34.39541412409434 0.4390078528210041
2150 34.4200052149484 0.4365546862781514
2200 34.44651613038995 0.4349242209493275
2250 34.472741210774 0.43308570534876445
2300 34.497624798202686 0.43088353705622456
2350 34.518212664196554 0.4289235391578042
2400 34.539918338063536 0.4264768178663591
2450 34.56004594313271 0.42467116999335314
2500 34.580050913162424 0.422747705368314
2550 34.59934769420682 0.4211604018415702
2600 34.61749460180229 0.41896574791797
2650 34.63544069166607 0.41695712044494837
